user_id,activity,timestamp,acc_x,acc_y,acc_z
1,Standing,1499193319029,-7.812,0.037,0.208
1,Standing,1499193319079,-7.792,0.07,0.107
1,Standing,1499193319128,-7.81,0.021,0.136
1,Standing,1499193319177,-7.761,0.037,0.164
1,Standing,1499193319224,-7.798,0.083,0.193
1,Standing,1499193319273,-7.814,0.044,0.154
1,Standing,1499193319323,-7.767,0.08,0.152
1,Standing,1499193319371,-7.824,0.087,0.144
1,Standing,1499193319422,-7.796,0.039,0.138
1,Standing,1499193319469,-7.787,0.029,0.128
1,Standing,1499193319517,-7.796,0.05,0.175
1,Standing,1499193319566,-7.8,0.06,0.119
1,Standing,1499193319615,-7.755,0.027,0.093
1,Standing,1499193319665,-7.794,0.035,0.142
1,Standing,1499193319713,-7.837,0.029,0.14
1,Standing,1499193319762,-7.806,0.044,0.177
1,Standing,1499193319811,-7.748,0.058,0.119
1,Standing,1499193319860,-7.818,0.037,0.132
1,Standing,1499193319909,-7.761,0.044,0.166
1,Standing,1499193319957,-7.796,0.044,0.167
1,Standing,1499193320006,-7.81,0.023,0.171
1,Standing,1499193320055,-7.777,0.044,0.15
1,Standing,1499193320103,-7.785,0.029,0.144
1,Standing,1499193320152,-7.796,0.037,0.128
1,Standing,1499193320201,-7.781,0.037,0.152
1,Standing,1499193320250,-7.812,0.048,0.162
1,Standing,1499193320299,-7.775,0.062,0.154
1,Standing,1499193320348,-7.796,0.076,0.152
1,Standing,1499193320398,-7.818,0.037,0.132
1,Standing,1499193320446,-7.773,0.021,0.177
1,Standing,1499193320494,-7.816,0.029,0.175
1,Standing,1499193320543,-7.808,0.011,0.185
1,Standing,1499193320592,-7.748,0.013,0.197
1,Standing,1499193320643,-7.746,0.035,0.072
1,Standing,1499193320691,-7.81,0.031,0.123
1,Standing,1499193320738,-7.808,0.052,0.13
1,Standing,1499193320787,-7.781,0.021,0.136
1,Standing,1499193320836,-7.789,0.042,0.126
1,Standing,1499193320885,-7.773,0.042,0.119
1,Standing,1499193320935,-7.81,0.046,0.152
1,Standing,1499193320982,-7.789,0.083,0.136
1,Standing,1499193321031,-7.812,0.039,0.162
1,Standing,1499193321080,-7.794,0.031,0.121
1,Standing,1499193321129,-7.802,0.019,0.128
1,Standing,1499193321178,-7.765,0.033,0.167
1,Standing,1499193321227,-7.808,0.023,0.158
1,Standing,1499193321276,-7.763,0.05,0.136
1,Standing,1499193321325,-7.806,0.044,0.152
1,Standing,1499193321374,-7.806,0.017,0.128
1,Standing,1499193321422,-7.787,0.019,0.169
1,Standing,1499193321472,-7.812,0.037,0.158
1,Standing,1499193321519,-7.792,0.052,0.136
1,Standing,1499193321568,-7.808,0.06,0.183
1,Standing,1499193321617,-7.74,0.025,0.126
1,Standing,1499193321666,-7.765,0.078,0.101
1,Standing,1499193321715,-7.808,0.056,0.171
1,Standing,1499193321764,-7.816,0.035,0.121
1,Standing,1499193321812,-7.781,0.037,0.115
1,Standing,1499193321861,-7.796,-0.003,0.121
1,Standing,1499193321911,-7.794,0.08,0.119
1,Standing,1499193321959,-7.816,0.033,0.14
1,Standing,1499193322009,-7.763,0.044,0.14
1,Standing,1499193322057,-7.787,0.003,0.113
1,Standing,1499193322105,-7.761,0.06,0.101
1,Standing,1499193322154,-7.82,0.05,0.189
1,Standing,1499193322203,-7.802,0.072,0.175
1,Standing,1499193322252,-7.814,0.025,0.107
1,Standing,1499193322301,-7.828,0.007,0.175
1,Standing,1499193322349,-7.765,0.06,0.111
1,Standing,1499193322399,-7.75,0.015,0.203
1,Standing,1499193322447,-7.789,0.031,0.134
1,Standing,1499193322496,-7.841,0.015,0.117
1,Standing,1499193322546,-7.812,0.042,0.128
1,Standing,1499193322593,-7.792,0.07,0.136
1,Standing,1499193322642,-7.781,0.029,0.142
1,Standing,1499193322691,-7.771,0.033,0.103
1,Standing,1499193322742,-7.755,0.005,0.146
1,Standing,1499193322790,-7.806,0.064,0.134
1,Standing,1499193322838,-7.787,0.031,0.15
1,Standing,1499193322886,-7.812,-0.001,0.173
1,Standing,1499193322935,-7.806,0.05,0.166
1,Standing,1499193322984,-7.765,0.005,0.126
1,Standing,1499193323033,-7.812,0.037,0.126
1,Standing,1499193323082,-7.757,0.042,0.16
1,Standing,1499193323131,-7.771,0.056,0.107
1,Standing,1499193323181,-7.802,0.064,0.154
1,Standing,1499193323228,-7.8,0.023,0.15
1,Standing,1499193323277,-7.781,0.033,0.126
1,Standing,1499193323326,-7.771,0.039,0.126
1,Standing,1499193323375,-7.808,0.05,0.126
1,Standing,1499193323423,-7.783,0.046,0.119
1,Standing,1499193323473,-7.789,0.044,0.169
1,Standing,1499193323521,-7.812,0.019,0.132
1,Standing,1499193323570,-7.82,0.05,0.167
1,Standing,1499193323619,-7.853,0.035,0.134
1,Standing,1499193323668,-7.81,0.039,0.146
1,Standing,1499193323718,-7.775,0.029,0.126
1,Standing,1499193323765,-7.773,0.029,0.158
1,Standing,1499193323815,-7.796,0.033,0.164
1,Standing,1499193323863,-7.804,0.009,0.146
1,Standing,1499193323912,-7.767,0.017,0.121
1,Standing,1499193323961,-7.804,0.052,0.14
1,Standing,1499193324009,-7.792,0.042,0.146
1,Standing,1499193324058,-7.806,0.037,0.15
1,Standing,1499193324108,-7.787,0.054,0.138
1,Standing,1499193324156,-7.755,0.027,0.089
1,Standing,1499193324206,-7.806,0.025,0.134
1,Standing,1499193324254,-7.761,0.039,0.154
1,Standing,1499193324302,-7.81,0.035,0.134
1,Standing,1499193324353,-7.8,0.017,0.203
1,Standing,1499193324400,-7.816,0.023,0.16
1,Standing,1499193324449,-7.82,0.025,0.185
1,Standing,1499193324498,-7.81,0.074,0.158
1,Standing,1499193324546,-7.773,0.044,0.164
1,Standing,1499193324595,-7.787,0.037,0.13
1,Standing,1499193324644,-7.785,0.025,0.134
1,Standing,1499193324695,-7.796,0.054,0.119
1,Standing,1499193324743,-7.8,0.054,0.154
1,Standing,1499193324791,-7.792,0.044,0.126
1,Standing,1499193324840,-7.849,0.054,0.154
1,Standing,1499193324889,-7.775,0.011,0.119
1,Standing,1499193324937,-7.781,0.039,0.158
1,Standing,1499193324986,-7.787,0.033,0.199
1,Standing,1499193325035,-7.806,0.042,0.162
1,Standing,1499193325084,-7.798,0.027,0.132
1,Standing,1499193325132,-7.746,0.078,0.125
1,Standing,1499193325182,-7.787,0.078,0.158
1,Standing,1499193325230,-7.826,0.044,0.109
1,Standing,1499193325279,-7.781,0.029,0.138
1,Standing,1499193325329,-7.802,0.015,0.125
1,Standing,1499193325377,-7.826,0.041,0.119
1,Standing,1499193325427,-7.833,0.056,0.179
1,Standing,1499193325474,-7.791,0.052,0.136
1,Standing,1499193325524,-7.746,0.027,0.119
1,Standing,1499193325572,-7.789,0.044,0.126
1,Standing,1499193325622,-7.792,0.027,0.121
1,Standing,1499193325669,-7.789,0.029,0.15
1,Standing,1499193325719,-7.8,0.025,0.166
1,Standing,1499193325767,-7.785,0.015,0.101
1,Standing,1499193325816,-7.83,0.048,0.134
1,Standing,1499193325865,-7.781,0.058,0.156
1,Standing,1499193325914,-7.775,0.05,0.162
1,Standing,1499193325963,-7.796,0.041,0.117
1,Standing,1499193326011,-7.802,0.035,0.138
1,Standing,1499193326061,-7.785,0.046,0.14
1,Standing,1499193326109,-7.796,0.048,0.126
1,Standing,1499193326158,-7.806,0.007,0.132
1,Standing,1499193326207,-7.781,0.07,0.146
1,Standing,1499193326256,-7.812,0.035,0.162
1,Standing,1499193326305,-7.812,0.023,0.148
1,Standing,1499193326354,-7.8,0.021,0.126
1,Standing,1499193326402,-7.826,0.06,0.189
1,Standing,1499193326451,-7.826,0.033,0.101
1,Standing,1499193326501,-7.796,0.021,0.148
1,Standing,1499193326548,-7.789,0.048,0.15
1,Standing,1499193326598,-7.781,0.023,0.107
1,Standing,1499193326646,-7.796,0.05,0.16
1,Standing,1499193326695,-7.792,0.062,0.179
1,Standing,1499193326744,-7.796,0.042,0.158
1,Standing,1499193326792,-7.841,0.044,0.113
1,Standing,1499193326841,-7.791,0.06,0.179
1,Standing,1499193326890,-7.777,0.007,0.164
1,Standing,1499193326939,-7.849,0.05,0.142
1,Standing,1499193326988,-7.787,0.044,0.13
1,Standing,1499193327038,-7.802,0.041,0.138
1,Standing,1499193327086,-7.808,0.003,0.146
1,Standing,1499193327136,-7.787,0.046,0.119
1,Standing,1499193327183,-7.808,0.064,0.16
1,Standing,1499193327232,-7.763,0.007,0.185
1,Standing,1499193327281,-7.816,0.037,0.136
1,Standing,1499193327329,-7.787,0.072,0.152
1,Standing,1499193327378,-7.81,0.037,0.154
1,Standing,1499193327428,-7.763,0.035,0.156
1,Standing,1499193327477,-7.759,0.021,0.169
1,Standing,1499193327526,-7.779,0.046,0.189
1,Standing,1499193327575,-7.759,0.037,0.119
1,Standing,1499193327622,-7.787,0.046,0.146
1,Standing,1499193327672,-7.791,0.041,0.14
1,Standing,1499193327721,-7.757,-0.003,0.185
1,Standing,1499193327770,-7.765,0.052,0.16
1,Standing,1499193327819,-7.779,0.072,0.097
1,Standing,1499193327867,-7.779,0.031,0.117
1,Standing,1499193327915,-7.796,0.044,0.14
1,Standing,1499193327964,-7.753,0.066,0.173
1,Standing,1499193328013,-7.748,0.013,0.136
1,Standing,1499193328062,-7.775,0.041,0.177
1,Standing,1499193328111,-7.808,0.048,0.089
1,Standing,1499193328160,-7.814,0.037,0.126
1,Standing,1499193328210,-7.796,0.048,0.156
1,Standing,1499193328257,-7.853,0.046,0.171
1,Standing,1499193328307,-7.792,0.064,0.121
1,Standing,1499193328355,-7.791,0.027,0.132
1,Standing,1499193328404,-7.802,0.062,0.128
1,Standing,1499193328453,-7.816,0.06,0.154
1,Standing,1499193328502,-7.787,0.031,0.173
1,Standing,1499193328550,-7.794,0.027,0.123
1,Standing,1499193328599,-7.8,0.017,0.167
1,Standing,1499193328648,-7.804,0.06,0.16
1,Standing,1499193328697,-7.789,0.037,0.171
1,Standing,1499193328746,-7.8,0.041,0.128
1,Standing,1499193328795,-7.781,0.001,0.148
1,Standing,1499193328845,-7.828,0.058,0.121
1,Standing,1499193328892,-7.81,0.031,0.183
1,Standing,1499193328941,-7.771,0.025,0.191
1,Standing,1499193328990,-7.755,0,0.132
1,Standing,1499193329039,-7.789,0.08,0.167
1,Standing,1499193329088,-7.806,0.031,0.121
1,Standing,1499193329137,-7.763,0.072,0.13
1,Standing,1499193329186,-7.808,0.003,0.126
1,Standing,1499193329235,-7.781,0.05,0.107
1,Standing,1499193329283,-7.804,0.021,0.152
1,Standing,1499193329331,-7.775,0.019,0.125
1,Standing,1499193329381,-7.806,0.054,0.154
1,Standing,1499193329429,-7.83,0.029,0.154
1,Standing,1499193329478,-7.841,0.039,0.175
1,Standing,1499193329527,-7.8,0.064,0.103
1,Standing,1499193329576,-7.808,0.05,0.132
1,Standing,1499193329624,-7.808,0.031,0.121
1,Standing,1499193329673,-7.794,0.064,0.134
1,Standing,1499193329723,-7.843,0.052,0.162
1,Standing,1499193329771,-7.771,0.035,0.146
1,Standing,1499193329821,-7.789,0.041,0.132
1,Standing,1499193329869,-7.785,0.056,0.138
1,Standing,1499193329918,-7.779,0.048,0.16
1,Standing,1499193329967,-7.789,0.05,0.156
1,Standing,1499193330016,-7.808,0.037,0.16
1,Standing,1499193330064,-7.794,0.039,0.146
1,Standing,1499193330113,-7.742,0.037,0.173
1,Standing,1499193330161,-7.794,0.052,0.142
1,Standing,1499193330210,-7.794,0.048,0.134
1,Standing,1499193330259,-7.775,0.048,0.136
1,Standing,1499193330308,-7.816,0.023,0.152
1,Standing,1499193330357,-7.794,0.019,0.13
1,Standing,1499193330405,-7.814,0.066,0.144
1,Standing,1499193330456,-7.761,0.027,0.16
1,Standing,1499193330503,-7.783,0.05,0.173
1,Standing,1499193330553,-7.808,0.031,0.148
1,Standing,1499193330601,-7.789,0.021,0.126
1,Standing,1499193330651,-7.787,0.041,0.154
1,Standing,1499193330698,-7.796,0.041,0.162
1,Standing,1499193330748,-7.798,0.041,0.093
1,Standing,1499193330796,-7.74,0.044,0.173
1,Standing,1499193330845,-7.773,0.039,0.156
1,Standing,1499193330895,-7.83,0.031,0.136
1,Standing,1499193330943,-7.794,0.009,0.203
1,Standing,1499193330993,-7.759,0.062,0.146
1,Standing,1499193331040,-7.796,0.052,0.156
1,Standing,1499193331089,-7.748,0.017,0.125
1,Standing,1499193331138,-7.791,0.097,0.134
1,Standing,1499193331187,-7.785,0.042,0.119
1,Standing,1499193331236,-7.783,0.062,0.115
